文本,单选,日期,附件,话题/标题,来源平台,发布时间,关键数据/热度,核心摘要,来源链接,笔记数/发帖量,话题指数,关联商品月销量,互动合计（赞+评+藏）
,,,,wuli设计 - 反光伞夜间实测 这才是真夜骑安全,抖音,2026-02,品牌联名 | 女士雨伞 1.2亿 | 12.4w粉,抖音设计师款/雨伞工业设计赛道的品牌联名内容，账号wuli设计（工业设计，12.4w粉），围绕话题#女士雨伞（1.2亿播放 / 2.4w视频 / 同比+6%），代表视频《反光伞夜间实测 这才是真夜骑安全》。,https://www.douyin.com/search/女士雨伞?type=video,视频2.4w / 播放1.2亿,搜索热度+32%,蝉妈妈销量榜Top 1,短视频带货 单条 2200单 / GMV 12.8万
,,,,totem图腾 - 8款自动开合伞对比 谁才是真一键,抖音,2026-05,种草安利 | 夜路自动伞 4200万 | 4.2w粉,抖音户外伞/遮阳赛道的种草安利内容，账号totem图腾（户外品牌，4.2w粉），围绕话题#夜路自动伞（4200万播放 / 0.8w视频 / 同比新），代表视频《8款自动开合伞对比 谁才是真一键》。,https://www.douyin.com/search/夜路自动伞?type=video,视频0.8w / 播放4200万,搜索热度+24%,月销2万单,达人推广 触达 4200万 / 互动 86万 / 转化 12.4万
,,,,黑雨伞源头工厂 - 暴雨12小时 12骨伞全程无故障,抖音,2026-01,热销榜单 | 机械臂钓鱼伞 2400万 | 5.6w粉,抖音黑胶/防晒/直供赛道的热销榜单内容，账号黑雨伞源头工厂（源头工厂，5.6w粉），围绕话题#机械臂钓鱼伞（2400万播放 / 0.4w视频 / 同比+58%），代表视频《暴雨12小时 12骨伞全程无故障》。,https://www.douyin.com/search/机械臂钓鱼伞?type=video,视频0.4w / 播放2400万,搜索热度+24%,蝉妈妈销量榜Top 1,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,闻士善 - 一把伞让油纸伞大师哭了出来,抖音,2026-08-05,短视频带货 | 万向钓鱼伞 1800万 | 65w粉,抖音古法油纸伞/非遗手作赛道的短视频带货内容，账号闻士善（闻叔的伞，65w粉），围绕话题#万向钓鱼伞（1800万播放 / 0.4w视频 / 同比+44%），代表视频《一把伞让油纸伞大师哭了出来》。,https://www.douyin.com/search/万向钓鱼伞?type=video,视频0.4w / 播放1800万,搜索热度+新,蝉妈妈销量榜Top 10,直播带货 单场 4800单 / GMV 28.6万
,,,,9号伞业 - 反光伞夜间实测 这才是真夜骑安全,抖音,2026-06,工艺揭秘 | 折叠伞 12.4亿 | 8.4w粉,抖音1688同款/直供赛道的工艺揭秘内容，账号9号伞业（工厂直播，8.4w粉），围绕话题#折叠伞（12.4亿播放 / 26.8w视频 / 同比+5%），代表视频《反光伞夜间实测 这才是真夜骑安全》。,https://www.douyin.com/search/折叠伞?type=video,视频26.8w / 播放12.4亿,搜索热度++85%,月销2万单,直播带货 单场 4800单 / GMV 28.6万
,,,,钓鱼伞源头 - 三折黑胶伞 通勤族的黑科技,抖音,2026-01,实景测试 | 机械臂钓鱼伞 2400万 | 3.2w粉,抖音钓鱼伞/万向/机械臂赛道的实景测试内容，账号钓鱼伞源头（工厂，3.2w粉），围绕话题#机械臂钓鱼伞（2400万播放 / 0.4w视频 / 同比+58%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/机械臂钓鱼伞?type=video,视频0.4w / 播放2400万,搜索热度+12%,月销10万+单,直播间同时在线 4.2万 / 累计观看 320万 / GMV 186万
,,,,钓鱼伞源头 - 挑战飞恋手电筒伞 照亮3公里夜路,抖音,2026-08-13,工艺揭秘 | 保康暖视频 800万 | 3.2w粉,抖音钓鱼伞/万向/机械臂赛道的工艺揭秘内容，账号钓鱼伞源头（工厂，3.2w粉），围绕话题#保康暖视频（800万播放 / 0.2w视频 / 同比新），代表视频《挑战飞恋手电筒伞 照亮3公里夜路》。,https://www.douyin.com/search/保康暖视频?type=video,视频0.2w / 播放800万,搜索热度+18%,月销5万单,系列视频 累计 1.2亿 播放 / 186万 赞 / 24.6万 评论
,,,,今日有雪223 - 8款自动开合伞对比 谁才是真一键,抖音,2025-12,工厂实拍 | 马卡龙伞 4800万 | 100w+粉,抖音台风街头/雨伞场景赛道的工厂实拍内容，账号今日有雪223（街头纪实，100w+粉），围绕话题#马卡龙伞（4800万播放 / 0.8w视频 / 同比+35%），代表视频《8款自动开合伞对比 谁才是真一键》。,https://www.douyin.com/search/马卡龙伞?type=video,视频0.8w / 播放4800万,搜索热度+18%,月销1万-3万单,蝉妈妈榜 雨伞品类 销量榜 No.1
,,,,钓鱼伞源头 - 双11 雨伞品类战报 抖音全面超越天猫,抖音,2026-04,产品上市 | 反光伞 2200万 | 3.2w粉,抖音钓鱼伞/万向/机械臂赛道的产品上市内容，账号钓鱼伞源头（工厂，3.2w粉），围绕话题#反光伞（2200万播放 / 0.4w视频 / 同比+85%），代表视频《双11 雨伞品类战报 抖音全面超越天猫》。,https://www.douyin.com/search/反光伞?type=video,视频0.4w / 播放2200万,搜索热度+新,月销5万单,短视频带货 单条 2200单 / GMV 12.8万
,,,,小红薯测评 - 婚礼红伞 花瓣雨里的浪漫,抖音,2026-08-13,节日应季 | 蕾丝公主伞 4200万 | 87.6w粉,抖音雨伞横评/对比赛道的节日应季内容，账号小红薯测评（测评号，87.6w粉），围绕话题#蕾丝公主伞（4200万播放 / 0.8w视频 / 同比+24%），代表视频《婚礼红伞 花瓣雨里的浪漫》。,https://www.douyin.com/search/蕾丝公主伞?type=video,视频0.8w / 播放4200万,搜索热度+新,月销3万-5万单,短视频带货 单条 2200单 / GMV 12.8万
,,,,黑雨伞源头工厂 - 钓鱼伞万向节 1秒换角度,抖音,2026-08-14,对比实验 | 三折伞 1.8亿 | 5.6w粉,抖音黑胶/防晒/直供赛道的对比实验内容，账号黑雨伞源头工厂（源头工厂，5.6w粉），围绕话题#三折伞（1.8亿播放 / 3.2w视频 / 同比+3%），代表视频《钓鱼伞万向节 1秒换角度》。,https://www.douyin.com/search/三折伞?type=video,视频3.2w / 播放1.8亿,搜索热度+8%,月销10万+单,同城 雨伞相关 搜索指数 18万 / 同比 +46%
,,,,KOL小辣椒 - 三折黑胶伞 通勤族的黑科技,抖音,2026-Q1,短视频带货 | 蕾丝公主伞 4200万 | 150w粉,抖音雨伞场景植入赛道的短视频带货内容，账号KOL小辣椒（美妆跨界，150w粉），围绕话题#蕾丝公主伞（4200万播放 / 0.8w视频 / 同比+24%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/蕾丝公主伞?type=video,视频0.8w / 播放4200万,搜索热度+24%,月销5万单,直播带货 单场 4800单 / GMV 28.6万
,,,,夏天的雨伞 - 保康暴雨 暖视频里那把伞火了,抖音,2026-08-13,实景测试 | 雨伞工厂直播 6.4亿 | 230w粉,抖音颜值党/ins风赛道的实景测试内容，账号夏天的雨伞（穿搭博主，230w粉），围绕话题#雨伞工厂直播（6.4亿播放 / 12.6w视频 / 同比+22%），代表视频《保康暴雨 暖视频里那把伞火了》。,https://www.douyin.com/search/雨伞工厂直播?type=video,视频12.6w / 播放6.4亿,搜索热度++85%,蝉妈妈销量榜Top 1,抖音热榜 #雨伞 #3 累计 9200万 播放
,,,,江浙沪梅雨 - 双11 雨伞品类战报 抖音全面超越天猫,抖音,2026-08-05,热销榜单 | 雨伞防风 2.4亿 | 42w粉,抖音梅雨季/雨具实用赛道的热销榜单内容，账号江浙沪梅雨（本地资讯，42w粉），围绕话题#雨伞防风（2.4亿播放 / 4.2w视频 / 同比+11%），代表视频《双11 雨伞品类战报 抖音全面超越天猫》。,https://www.douyin.com/search/雨伞防风?type=video,视频4.2w / 播放2.4亿,搜索热度+18%,月销5万单,星图 报价 12万 / 视频播放 1800万 / 互动 28万
,,,,浙江飞恋官方旗舰店 - 暴雨天打伞 vs 不打伞 实验对比,抖音,2026-08-05,品牌联名 | 雨伞测评 1.8亿 | 46.2w粉,抖音工厂直播/反向折叠/IP联名赛道的品牌联名内容，账号浙江飞恋官方旗舰店（品牌官方，46.2w粉），围绕话题#雨伞测评（1.8亿播放 / 3.2w视频 / 同比+18%），代表视频《暴雨天打伞 vs 不打伞 实验对比》。,https://www.douyin.com/search/雨伞测评?type=video,视频3.2w / 播放1.8亿,搜索热度+5%,蝉妈妈销量榜Top 1,GMV 单场 280万 / UV价值 38元 / 转化率 4.6%
,,,,BELLE MAISON - 油纸伞72道工艺 一把伞做3个月,抖音,2026-08-05,对比实验 | 三折黑胶伞 3.6亿 | 2.1w粉,抖音日系/家庭赛道的对比实验内容，账号BELLE MAISON（日系，2.1w粉），围绕话题#三折黑胶伞（3.6亿播放 / 6.4w视频 / 同比+14%），代表视频《油纸伞72道工艺 一把伞做3个月》。,https://www.douyin.com/search/三折黑胶伞?type=video,视频6.4w / 播放3.6亿,搜索热度++85%,月销8千-1万单,品牌广告位 累计曝光 1.2亿 / 点击 320万 / 转化 8.6万
,,,,吐泡沫的鱼 - 暴雨天打伞 vs 不打伞 实验对比,抖音,2026-Q1,节日应季 | 男士商务伞 6800万 | 30w+粉,抖音保康暖视频/雨伞/极端天气赛道的节日应季内容，账号吐泡沫的鱼（生活记录，30w+粉），围绕话题#男士商务伞（6800万播放 / 1.2w视频 / 同比+9%），代表视频《暴雨天打伞 vs 不打伞 实验对比》。,https://www.douyin.com/search/男士商务伞?type=video,视频1.2w / 播放6800万,搜索热度+8%,新上榜,系列视频 累计 1.2亿 播放 / 186万 赞 / 24.6万 评论
,,,,南方暴雨 - 对比10款防晒伞 这把能挡99.9%紫外线,抖音,2025-12,品牌联名 | 飞恋伞 9200万 | 200w+粉,抖音南方暴雨/出行赛道的品牌联名内容，账号南方暴雨（气象，200w+粉），围绕话题#飞恋伞（9200万播放 / 1.8w视频 / 同比+62%），代表视频《对比10款防晒伞 这把能挡99.9%紫外线》。,https://www.douyin.com/search/飞恋伞?type=video,视频1.8w / 播放9200万,搜索热度+12%,月销1万-3万单,同城 雨伞相关 搜索指数 18万 / 同比 +46%
,,,,必朗官方 - 商务伞的隐藏功能 你绝对不知道,抖音,2026-Q1,广告投放 | 全自动伞 3.2亿 | 12w粉,抖音中端雨伞赛道的广告投放内容，账号必朗官方（品牌，12w粉），围绕话题#全自动伞（3.2亿播放 / 5.6w视频 / 同比+9%），代表视频《商务伞的隐藏功能 你绝对不知道》。,https://www.douyin.com/search/全自动伞?type=video,视频5.6w / 播放3.2亿,搜索热度+8%,蝉妈妈销量榜Top 1,抖音热搜 #飞恋伞 #持续 12小时
,,,,夏天的阳台 - 我把价值¥200的伞丢进搅拌机 结果,抖音,2026-08-05,种草安利 | 台风伞 4200万 | 82w粉,抖音阳台/居家/雨具美学赛道的种草安利内容，账号夏天的阳台（生活方式，82w粉），围绕话题#台风伞（4200万播放 / 0.8w视频 / 同比+44%），代表视频《我把价值¥200的伞丢进搅拌机 结果》。,https://www.douyin.com/search/台风伞?type=video,视频0.8w / 播放4200万,搜索热度+新,月销8千-1万单,达人推广 触达 4200万 / 互动 86万 / 转化 12.4万
,,,,Knirps克尼普斯 - 油纸伞72道工艺 一把伞做3个月,抖音,2026-07,产品上市 | 反向折叠伞 1.2亿 | 5.6w粉,抖音高端商务赛道的产品上市内容，账号Knirps克尼普斯（德系，5.6w粉），围绕话题#反向折叠伞（1.2亿播放 / 2.1w视频 / 同比+47%），代表视频《油纸伞72道工艺 一把伞做3个月》。,https://www.douyin.com/search/反向折叠伞?type=video,视频2.1w / 播放1.2亿,搜索热度+18%,月销5万单,挑战赛 播放 1.8亿 / 参与 8.4w 视频
,,,,余万伦 - 我把价值¥200的伞丢进搅拌机 结果,抖音,2026-03,开箱测评 | 蕾丝防晒伞 6800万 | 95.6w粉,抖音油纸伞/三都非遗赛道的开箱测评内容，账号余万伦（非遗传承人，95.6w粉），围绕话题#蕾丝防晒伞（6800万播放 / 1.2w视频 / 同比+21%），代表视频《我把价值¥200的伞丢进搅拌机 结果》。,https://www.douyin.com/search/蕾丝防晒伞?type=video,视频1.2w / 播放6800万,搜索热度++85%,月销3万-5万单,POI 杭州萧山 雨伞工厂 打卡 6.8w 次
,,,,SENKESI - 工厂老板揭秘: 10元的伞和100元的伞差在哪,抖音,2025-12,直播间片段 | 马卡龙伞 4800万 | 6.3w粉,抖音全自动/性价比赛道的直播间片段内容，账号SENKESI（品牌，6.3w粉），围绕话题#马卡龙伞（4800万播放 / 0.8w视频 / 同比+35%），代表视频《工厂老板揭秘: 10元的伞和100元的伞差在哪》。,https://www.douyin.com/search/马卡龙伞?type=video,视频0.8w / 播放4800万,搜索热度+24%,蝉妈妈销量榜Top 1,累计播放 6800万 / 点赞 128万 / 评论 18.6万 / 转发 22.4万
,,,,小红薯 - 机械臂钓鱼伞测评 万向旋转的快乐,抖音,2026-04,品牌联名 | 蕾丝防晒伞 6800万 | 180w粉,抖音防晒伞/通勤/颜值赛道的品牌联名内容，账号小红薯（种草，180w粉），围绕话题#蕾丝防晒伞（6800万播放 / 1.2w视频 / 同比+21%），代表视频《机械臂钓鱼伞测评 万向旋转的快乐》。,https://www.douyin.com/search/蕾丝防晒伞?type=video,视频1.2w / 播放6800万,搜索热度+12%,月销3万-5万单,GMV 单场 280万 / UV价值 38元 / 转化率 4.6%
,,,,今日有雪223 - 油纸伞72道工艺 一把伞做3个月,抖音,2026-08-05,非遗手作 | 手电筒伞 6800万 | 100w+粉,抖音台风街头/雨伞场景赛道的非遗手作内容，账号今日有雪223（街头纪实，100w+粉），围绕话题#手电筒伞（6800万播放 / 1.4w视频 / 同比新），代表视频《油纸伞72道工艺 一把伞做3个月》。,https://www.douyin.com/search/手电筒伞?type=video,视频1.4w / 播放6800万,搜索热度++85%,月销5000单,抖音热搜 #飞恋伞 #持续 12小时
,,,,吐泡沫的鱼 - 三折黑胶伞 通勤族的黑科技,抖音,2026-08-12,节日应季 | 钛银胶伞 6400万 | 30w+粉,抖音保康暖视频/雨伞/极端天气赛道的节日应季内容，账号吐泡沫的鱼（生活记录，30w+粉），围绕话题#钛银胶伞（6400万播放 / 1.2w视频 / 同比+22%），代表视频《三折黑胶伞 通勤族的黑科技》。,https://www.douyin.com/search/钛银胶伞?type=video,视频1.2w / 播放6400万,搜索热度+24%,月销2万单,挑战赛 播放 1.8亿 / 参与 8.4w 视频
,,,,飞恋伞厂 - 黑胶伞防晒实验 UV卡片变色测试,抖音,2025-Q4,用户故事 | 飞恋伞 9200万 | 200w粉,抖音手电筒伞/夜路伞/反向折叠/IP联名赛道的用户故事内容，账号飞恋伞厂（源头工厂，200w粉），围绕话题#飞恋伞（9200万播放 / 1.8w视频 / 同比+62%），代表视频《黑胶伞防晒实验 UV卡片变色测试》。,https://www.douyin.com/search/飞恋伞?type=video,视频1.8w / 播放9200万,搜索热度+8%,蝉妈妈销量榜Top 10,品牌任务 累计 6800 创作者参与 / 8.2w 视频
,,,,小红薯 - 8款自动开合伞对比 谁才是真一键,抖音,2025-Q4,天气纪实 | 雨伞工厂直播 6.4亿 | 180w粉,抖音防晒伞/通勤/颜值赛道的天气纪实内容，账号小红薯（种草，180w粉），围绕话题#雨伞工厂直播（6.4亿播放 / 12.6w视频 / 同比+22%），代表视频《8款自动开合伞对比 谁才是真一键》。,https://www.douyin.com/search/雨伞工厂直播?type=video,视频12.6w / 播放6.4亿,搜索热度++85%,月销10万+单,挑战赛 播放 1.8亿 / 参与 8.4w 视频
,,,,黑雨伞工厂店 - 婚礼红伞 花瓣雨里的浪漫,抖音,2026-08-13,广告投放 | 12骨防风伞 1.2亿 | 12.8w粉,抖音黑胶/防紫外线/抖音爆款赛道的广告投放内容，账号黑雨伞工厂店（源头工厂，12.8w粉），围绕话题#12骨防风伞（1.2亿播放 / 2.4w视频 / 同比+19%），代表视频《婚礼红伞 花瓣雨里的浪漫》。,https://www.douyin.com/search/12骨防风伞?type=video,视频2.4w / 播放1.2亿,搜索热度+32%,月销5000单,系列视频 累计 1.2亿 播放 / 186万 赞 / 24.6万 评论
,,,,夏天的雨伞 - 一把伞让油纸伞大师哭了出来,抖音,2025-Q4,广告投放 | 保康暖视频 800万 | 230w粉,抖音颜值党/ins风赛道的广告投放内容，账号夏天的雨伞（穿搭博主，230w粉），围绕话题#保康暖视频（800万播放 / 0.2w视频 / 同比新），代表视频《一把伞让油纸伞大师哭了出来》。,https://www.douyin.com/search/保康暖视频?type=video,视频0.2w / 播放800万,搜索热度+24%,月销8千-1万单,单条视频 2200万 播放 / 46万 赞 / 8.2万 评论 / 12.4万 转发
,,,,WPC官方 - 黄景瑜同款三折黑胶伞 1688平替,抖音,2026-01,种草安利 | 台风伞 4200万 | 8.4w粉,抖音日系/ins风赛道的种草安利内容，账号WPC官方（日牌，8.4w粉），围绕话题#台风伞（4200万播放 / 0.8w视频 / 同比+44%），代表视频《黄景瑜同款三折黑胶伞 1688平替》。,https://www.douyin.com/search/台风伞?type=video,视频0.8w / 播放4200万,搜索热度+24%,月销5万-10万单,抖音热搜 #飞恋伞 #持续 12小时
,,,,Knirps克尼普斯 - 梅雨季通勤神伞 5折口袋伞实测,抖音,2026-07,工艺揭秘 | 商务雨伞 3200万 | 5.6w粉,抖音高端商务赛道的工艺揭秘内容，账号Knirps克尼普斯（德系，5.6w粉），围绕话题#商务雨伞（3200万播放 / 0.6w视频 / 同比+8%），代表视频《梅雨季通勤神伞 5折口袋伞实测》。,https://www.douyin.com/search/商务雨伞?type=video,视频0.6w / 播放3200万,搜索热度+24%,月销2万单,挑战赛 播放 1.8亿 / 参与 8.4w 视频
,,,,KOL小辣椒 - 从1688到抖音 这把反向折叠伞爆卖100万,抖音,2026-04,直播间片段 | 反伞黑胶 1.8亿 | 150w粉,抖音雨伞场景植入赛道的直播间片段内容，账号KOL小辣椒（美妆跨界，150w粉），围绕话题#反伞黑胶（1.8亿播放 / 3.2w视频 / 同比+22%），代表视频《从1688到抖音 这把反向折叠伞爆卖100万》。,https://www.douyin.com/search/反伞黑胶?type=video,视频3.2w / 播放1.8亿,搜索热度+24%,蝉妈妈销量榜Top 10,挑战赛 播放 1.8亿 / 参与 8.4w 视频
,,,,雷鹏琳 - 对比10款防晒伞 这把能挡99.9%紫外线,抖音,2026-Q2,工厂实拍 | 雨伞工厂直播 6.4亿 | 184w→200w粉,抖音全品类飞恋产品/工厂实拍赛道的工厂实拍内容，账号雷鹏琳（KOL+老板，184w→200w粉），围绕话题#雨伞工厂直播（6.4亿播放 / 12.6w视频 / 同比+22%），代表视频《对比10款防晒伞 这把能挡99.9%紫外线》。,https://www.douyin.com/search/雨伞工厂直播?type=video,视频12.6w / 播放6.4亿,搜索热度+24%,蝉妈妈销量榜Top 1,同城 雨伞相关 搜索指数 18万 / 同比 +46%
